StoreId,StoreCode,Concept,Folder
4374,YOMOE,YoSushi,GGCOPS
4375,YODMM,YoSushi,GGCOPS
4376,YODM,YoSushi,GGCOPS
4377,MARINAKTN,YoSushi,GGCOPS
4377,MARINAKTN,Humming Bird Bakery,GGCOPS
4377,MARINAKTN,Health Junkie,GGCOPS
4377,MARINAKTN,Panda Express,KINGFU
4378,STDKTN,YoSushi,GGCOPS
4378,STDKTN,Humming Bird Bakery,GGCOPS
4378,STDKTN,Health Junkie,GGCOPS
4378,STDKTN,Panda Express,KINGFU
4379,YOMICC,YoSushi,GGCOPS
4379,YOMICC,Humming Bird Bakery,GGCOPS
5454,PXMICC,Panda Express,KINGFU
5575,HBIRDMOE,Humming Bird Bakery,GGCOPS
5576,HBIRDDM,Humming Bird Bakery,GGCOPS
5645,TDBMOE,TexasDeBrazi,GGCOPS
5646,TDBYAS,TexasDeBrazi,GGCOPS
5647,TDBDM,TexasDeBrazi,GGCOPS
