Conception,CreditUser,Delivery.IsDelivery,Delivery.SourceKey,Department,DishDiscountSumInt,ExternalNumber,OpenDate.Typed,OrderNum,OrderType,PayTypes,UniqOrderId.Id
YoSushi,,DELIVERY_ORDER,TALABAT,Studio City Kitchen,128.0,,2022-06-20,3837,DELIVERACT Collection,Aggregator Payment,8405bc37-273d-48b3-8bda-8cd508142a1b
YoSushi,,DELIVERY_ORDER,DELIVEROO,Studio City Kitchen,107.0,,2022-06-20,3844,DELIVERACT Collection,Aggregator Payment,84ea8a5a-7c2e-4258-84e8-18811c2e4725
YoSushi,,DELIVERY_ORDER,DELIVEROO,Studio City Kitchen,67.5,,2022-06-20,3848,DELIVERACT Collection,Aggregator Payment,891bedb9-17a3-4773-9b74-6b379bfc66c8
YoSushi,,DELIVERY_ORDER,ZOMATO,Studio City Kitchen,40.0,,2022-06-20,3839,DELIVERACT Collection,Aggregator Payment,8fae67a2-0520-4a05-8908-c417525b3289
YoSushi,,DELIVERY_ORDER,CloudCallCenter,Studio City Kitchen,84.62,,2022-06-20,3856,ENTERTAINER,Aggregator Payment,a11abd92-b223-4d42-9bf0-e810a1ec47f2
YoSushi,,DELIVERY_ORDER,CloudCallCenter,Studio City Kitchen,110.2,,2022-06-20,3843,INSTASHOP,Aggregator Payment,a2e91ed1-9e9b-4451-a563-3176bb14826e
YoSushi,,DELIVERY_ORDER,DELIVEROO,Studio City Kitchen,98.0,,2022-06-20,3857,DELIVERACT Collection,Aggregator Payment,a54b31da-5e49-405f-a915-39982ac6ec28
YoSushi,,DELIVERY_ORDER,TALABAT,Studio City Kitchen,39.6,,2022-06-20,3846,DELIVERACT Collection,Aggregator Payment,be745f78-48c2-41c6-8a9e-75d88cb70eae
YoSushi,,DELIVERY_ORDER,DELIVEROO,Studio City Kitchen,46.0,,2022-06-20,3858,DELIVERACT Collection,Aggregator Payment,c4e7b3c5-86d6-4b7d-9a4f-95ac2216aed9
YoSushi,,DELIVERY_ORDER,TALABAT,Studio City Kitchen,214.25,,2022-06-20,3851,DELIVERACT Collection,Aggregator Payment,c56146b3-9bdc-4b9d-be5f-2608c0302cae
YoSushi,,DELIVERY_ORDER,DELIVEROO,Studio City Kitchen,36.0,,2022-06-20,3835,DELIVERACT Collection,Aggregator Payment,c6f5bfc5-737e-46f3-8abb-bc9eb0475880
YoSushi,,DELIVERY_ORDER,TALABAT,Studio City Kitchen,91.0,,2022-06-20,3840,DELIVERACT Collection,Aggregator Payment,df79de88-75d7-4a60-b7e2-0b9a059a63d6
YoSushi,,DELIVERY_ORDER,TALABAT,Studio City Kitchen,47.2,,2022-06-20,3834,DELIVERACT Collection,Aggregator Payment,e093651f-713d-451e-b9e9-7690542e56dc
